	Experiment	Kind of Sample	Code Sample	Cell Number	Status	Acquisition Day	Acquisition Hour	Process Date	Filename	Position Index	X Position	Y Position	Height 10%	Height 5%	Ajuste_X_CP_YM	Ajuste_X_CP_CP	Ajuste_X_CP_RRMS	Indentation F80%	Ajuste_Y_CP_YM	Ajuste_Y_CP_RRMS	YM_Fmax0100pN	RMS_Fmax0100pN	YM_Fmax0200pN	RMS_Fmax0200pN	YM_Fmax0300pN	RMS_Fmax0300pN	YM_Fmax0400pN	RMS_Fmax0400pN	YM_Fmax0500pN	RMS_Fmax0500pN	YM_Fmax0600pN	RMS_Fmax0600pN	YM_Fmax0800pN	RMS_Fmax0800pN	YM_Fmax1000pN	RMS_Fmax1000pN	YM_Fmax1200pN	RMS_Fmax1200pN	YM_Fmax1500pN	RMS_Fmax1500pN	Filter Group	MinForce_F0500pN	minPosition_F0500pN	MaxForce_F0500pN	MaxPosition_F0500pN	MinForce_F1000pN	minPosition_F1000pN	MaxForce_F1000pN	MaxPosition_F1000pN	MinForce_F1500pN	minPosition_F1500pN	MaxForce_F1500pN	MaxPosition_F1500pN	MinForce_F3000pN	minPosition_F3000pN	MaxForce_F3000pN	MaxPosition_F3000pN	Planned Height	Segment	Free Hand Segmentation	Generic Segmentation	Height Position	Height by Max	Norm Height	stardist
0	QI-Mode-WT-ControlvsAng	WT	860090	Cell-5	Control	2021.06.30	10.31.14.837	2021.07.27-20.55.36	860090_Control_Cell_5_F2nN_ZL2000nm_ZS79umps_1umppx_qi-data-2021.06.30-10.31.14.837_0000.jpk-qi-series	0	0.00177825	0.00130512	7.08387e-06	7.1414e-06	1361360.0	7.08827e-06	3.75008e-11	-4.20173e-08	1377500.0	2.45937e-11	1625900.0	2.38917e-11	1060910.0	2.39644e-11	1147150.0	2.39803e-11	1243560.0	2.41161e-11	1377500.0	2.45773e-11	1677110.0	2.7145e-11	1966060.0	3.11771e-11	2140960.0	3.34751e-11	2671990.0	4.6374e-11	2938260.0	5.13625e-11	0	1.09842e-12	7.45004e-08	4.833480000000001e-10	-1.8802e-08	1.09842e-12	7.45004e-08	9.64435e-10	-1.91674e-08	1.09842e-12	7.45004e-08	1.4562999999999992e-09	-1.93703e-08	-7.95596e-11	4.340830000000001e-07	1.5679e-09	-1.9599e-08	5.204442501356671e-09	Substrate			3763	-3.247456951001284e-06	0.0282198756533255	0
1	QI-Mode-WT-ControlvsAng	WT	860090	Cell-5	Control	2021.06.30	10.31.14.837	2021.07.27-20.55.36	860090_Control_Cell_5_F2nN_ZL2000nm_ZS79umps_1umppx_qi-data-2021.06.30-10.31.14.837_0001.jpk-qi-series	1	0.00177725	0.00130512	7.087660000000001e-06	7.09203e-06	1630300.0	7.097669999999999e-06	3.54506e-11	-3.77252e-08	10083600.0	2.86786e-11	15667200.0	2.85105e-11	8911110.0	2.85354e-11	9367370.0	2.85784e-11	9343730.0	2.85694e-11	10083600.0	2.86601e-11	10954100.0	2.89197e-11	13201600.0	3.08095e-11	17200400.0	3.79605e-11	17200400.0	3.79605e-11	19555600.0	4.40588e-11	0	5.69693e-13	1.15026e-07	4.5216e-10	-7.42768e-09	5.69693e-13	1.15026e-07	1.25326e-09	-8.25472e-09	5.69693e-13	1.15026e-07	1.46949e-09	-8.438419999999999e-09	-8.013100000000001e-11	4.56889e-07	1.62544e-09	-8.67434e-09	-3.500861478694632e-09	Substrate			4551	-3.2561622549813338e-06	0.0256148707181249	0
2	QI-Mode-WT-ControlvsAng	WT	860090	Cell-5	Control	2021.06.30	10.31.14.837	2021.07.27-20.55.36	860090_Control_Cell_5_F2nN_ZL2000nm_ZS79umps_1umppx_qi-data-2021.06.30-10.31.14.837_0002.jpk-qi-series	2	0.00177625	0.00130512	7.09948e-06	7.10329e-06	1711340.0	7.11033e-06	4.56901e-11	-3.643690000000001e-08	5182140.0	2.75778e-11	6037490.0	2.75563e-11	4922320.0	2.75371e-11	4707100.0	2.75227e-11	4961710.0	2.75214e-11	5182150.0	2.75602e-11	6610140.0	2.98764e-11	6258680.0	2.93303e-11	7250670.0	3.24087e-11	8464110.0	3.93192e-11	10249000.0	5.08277e-11	0	6.92549e-14	6.732080000000001e-08	4.59812e-10	-1.06192e-08	6.92549e-14	6.732080000000001e-08	1.03592e-09	-1.1205e-08	6.92549e-14	6.732080000000001e-08	1.57405e-09	-1.15157e-08	-7.66003e-11	5.01917e-07	1.62901e-09	-1.1529e-08	-4.166587360663371e-09	Substrate			4576	-3.256827980863304e-06	0.0254156566284167	0
3	QI-Mode-WT-ControlvsAng	WT	860090	Cell-5	Control	2021.06.30	10.31.14.837	2021.07.27-20.55.36	860090_Control_Cell_5_F2nN_ZL2000nm_ZS79umps_1umppx_qi-data-2021.06.30-10.31.14.837_0003.jpk-qi-series	3	0.00177525	0.00130511	7.113160000000001e-06	7.116739999999999e-06	1792440.0	7.124130000000001e-06	5.50747e-11	-3.55864e-08	8078050.0	3.04233e-11	13808300.0	2.96104e-11	8185010.0	2.96142e-11	6585910.0	2.96429e-11	6793610.0	2.96392e-11	8078050.0	3.04039e-11	8078050.0	3.04039e-11	9728320.0	3.23289e-11	11551900.0	3.64142e-11	13253600.0	4.15166e-11	15847400.0	5.21147e-11	0	9.14925e-13	8.00149e-08	6.274119999999996e-10	-8.62317e-09	9.14925e-13	8.00149e-08	1.04008e-09	-9.09256e-09	9.14925e-13	8.00149e-08	1.6233699999999995e-09	-9.48959e-09	-8.80189e-11	7.94452e-07	1.6233699999999995e-09	-9.48959e-09	-2.9760438325862003e-09	Substrate			4526	-3.2556374373352264e-06	0.025771918945427	0
4	QI-Mode-WT-ControlvsAng	WT	860090	Cell-5	Control	2021.06.30	10.31.14.837	2021.07.27-20.55.36	860090_Control_Cell_5_F2nN_ZL2000nm_ZS79umps_1umppx_qi-data-2021.06.30-10.31.14.837_0004.jpk-qi-series	4	0.00177425	0.00130511	7.12707e-06	7.13128e-06	1645910.0	7.1377e-06	4.30531e-11	-3.72948e-08	5837250.0	2.97388e-11	13661800.0	2.92856e-11	4736940.0	2.93973e-11	4840470.0	2.93815e-11	5309610.0	2.94435e-11	5837250.0	2.97199e-11	6220840.0	2.99767e-11	7316930.0	3.15254e-11	8485160.0	3.46178e-11	9982600.0	4.07749e-11	10970800.0	4.66637e-11	0	1.06014e-11	4.66201e-08	5.315700000000001e-10	-9.83863e-09	1.06014e-11	4.66201e-08	9.81824e-10	-1.05628e-08	1.06014e-11	4.66201e-08	1.5546600000000003e-09	-1.10947e-08	-7.76161e-11	1.69298e-07	1.60383e-09	-1.1188200000000002e-08	-1.5538658725345171e-09	Substrate			4448	-3.254215259375175e-06	0.026197496342053	0
5	QI-Mode-WT-ControlvsAng	WT	860090	Cell-5	Control	2021.06.30	10.31.14.837	2021.07.27-20.55.36	860090_Control_Cell_5_F2nN_ZL2000nm_ZS79umps_1umppx_qi-data-2021.06.30-10.31.14.837_0005.jpk-qi-series	5	0.00177325	0.00130511	7.1428e-06	7.147130000000003e-06	1606820.0	7.15329e-06	3.36371e-11	-3.79822e-08	7171100.0	2.78874e-11	9270420.0	2.7804e-11	6893970.0	2.77941e-11	6597600.0	2.77657e-11	6562750.0	2.77564e-11	7171100.0	2.78697e-11	7691620.0	2.81516e-11	8995530.0	2.99081e-11	9991570.0	3.2068000000000014e-11	10772000.0	3.48318e-11	14274300.0	5.17405e-11	0	1.61132e-12	9.15639e-09	4.85122e-10	-9.11983e-09	1.61132e-12	9.15639e-09	9.88757e-10	-9.86897e-09	1.61132e-12	9.15639e-09	1.6397899999999992e-09	-1.00379e-08	-8.02325e-11	4.62913e-07	1.6397899999999992e-09	-1.00379e-08	1.6842793192144875e-09	Substrate			4122	-3.250977114183425e-06	0.0271664899837148	0
6	QI-Mode-WT-ControlvsAng	WT	860090	Cell-5	Control	2021.06.30	10.31.14.837	2021.07.27-20.55.36	860090_Control_Cell_5_F2nN_ZL2000nm_ZS79umps_1umppx_qi-data-2021.06.30-10.31.14.837_0006.jpk-qi-series	6	0.00177225	0.0013050999999999	7.157289999999999e-06	7.161669999999997e-06	1592350.0	7.1676e-06	3.48849e-11	-3.84901e-08	28846600.0	3.2859e-11			35485100.0	3.18599e-11	25571300.0	3.193e-11	24591800.0	3.19417e-11	28846600.0	3.28381e-11	28743500.0	3.2847e-11	28846600.0	3.28381e-11	33774300.0	3.48542e-11	38853800.0	3.88602e-11	43456700.0	4.4095e-11	0	9.45611e-12	7.70994e-09	7.821499999999996e-10	-5.1705100000000006e-09	9.45611e-12	7.70994e-09	9.75554e-10	-5.592020000000001e-09	9.45611e-12	7.70994e-09	1.55015e-09	-6.083e-09	-1.01928e-10	4.89947e-07	1.59777e-09	-6.199520000000001e-09	3.6854780017958254e-09	Substrate			3922	-3.2489759155008444e-06	0.0277653355216061	0
7	QI-Mode-WT-ControlvsAng	WT	860090	Cell-5	Control	2021.06.30	10.31.14.837	2021.07.27-20.55.36	860090_Control_Cell_5_F2nN_ZL2000nm_ZS79umps_1umppx_qi-data-2021.06.30-10.31.14.837_0007.jpk-qi-series	7	0.00177125	0.0013050999999999	7.17115e-06	7.174889999999997e-06	1683360.0	7.182560000000003e-06	4.89221e-11	-3.67395e-08	4750980.0	2.69528e-11	6981430.0	2.67772e-11	4404650.0	2.67906e-11	4192670.0	2.67652e-11	4409220.0	2.67913e-11	4750980.0	2.69356e-11	5337940.0	2.74586e-11	6100950.0	2.9083000000000004e-11	7113420.0	3.21351e-11	9563570.0	4.83727e-11	9161340.0	4.5732e-11	0	6.51326e-13	7.09601e-08	4.57024e-10	-1.06614e-08	6.51326e-13	7.09601e-08	9.7971e-10	-1.19842e-08	6.51326e-13	7.09601e-08	1.56941e-09	-1.22608e-08	-8.64011e-11	7.7704e-07	1.56941e-09	-1.22608e-08	5.063845491245008e-09	Substrate			3770	-3.2475975480113948e-06	0.0281778029231768	0
8	QI-Mode-WT-ControlvsAng	WT	860090	Cell-5	Control	2021.06.30	10.31.14.837	2021.07.27-20.55.36	860090_Control_Cell_5_F2nN_ZL2000nm_ZS79umps_1umppx_qi-data-2021.06.30-10.31.14.837_0008.jpk-qi-series	8	0.00177025	0.00130509	7.36003e-06	7.3670100000000015e-06	977447.0	7.37558e-06	5.49459e-11	-4.605869999999999e-08	131576.0	2.93065e-11	115121.0	2.92788e-11	120342.0	2.91954e-11	122742.0	2.90441e-11	125521.0	2.90199e-11	131576.0	2.92852e-11	140119.0	3.00534e-11	158430.0	3.34639e-11	185927.0	4.49884e-11	207157.0	5.48986e-11	207157.0	5.48986e-11	0	5.95226e-13	3.34119e-08	4.670500000000001e-10	-6.430730000000001e-08	5.95226e-13	3.34119e-08	1.27329e-09	-6.81017e-08	5.95226e-13	3.34119e-08	1.54765e-09	-6.8131e-08	-1.09469e-10	6.05832e-07	1.59846e-09	-6.82002e-08	1.814492140962921e-07	Substrate			2416	-3.071212179406348e-06	0.080959963863939	0
9	QI-Mode-WT-ControlvsAng	WT	860090	Cell-5	Control	2021.06.30	10.31.14.837	2021.07.27-20.55.36	860090_Control_Cell_5_F2nN_ZL2000nm_ZS79umps_1umppx_qi-data-2021.06.30-10.31.14.837_0009.jpk-qi-series	9	0.00176925	0.00130509	7.2442499999999984e-06	7.36221e-06	1196570.0	7.21372e-06	6.20351e-11	-4.518099999999999e-08	2780680.0	3.05197e-11	2713690.0	3.03891e-11	2430070.0	3.03552e-11	2456460.0	3.03353e-11	2554540.0	3.03382e-11	2780680.0	3.05026e-11	3208950.0	3.11995e-11	3933960.0	3.41172e-11	4364760.0	3.62319e-11	5274780.0	4.34053e-11	5523550.0	4.64619e-11	0	1.72197e-12	8.37568e-08	4.52843e-10	-1.33723e-08	1.72197e-12	8.37568e-08	9.69809e-10	-1.40643e-08	1.72197e-12	8.37568e-08	1.49987e-09	-1.45517e-08	-8.08873e-11	8.638840000000002e-07	1.60592e-09	-1.46486e-08	5.3178239857353344e-08	Substrate			2802	-3.199483153645287e-06	0.0425757188449091	0
